Instrument,QLIKE
Tenor : 1; Maturity : 10,0.00014704471404036745
Tenor : 2; Maturity : 10,0.0001694531885757522
Tenor : 3; Maturity : 10,0.0001765915555114924
Tenor : 20; Maturity : 4,0.00018284227755049898
Tenor : 6; Maturity : 7,0.00018517714798342114
Tenor : 9; Maturity : 7,0.00018674934281737166
Tenor : 7; Maturity : 7,0.00019568575585326986
Tenor : 5; Maturity : 7,0.0002013483195262289
Tenor : 10; Maturity : 7,0.00020214756726625685
Tenor : 10; Maturity : 5,0.00021200234360500372
Tenor : 4; Maturity : 10,0.0002120763023611231
Tenor : 20; Maturity : 5,0.00021438369390236467
Tenor : 15; Maturity : 5,0.0002158946756730673
Tenor : 25; Maturity : 4,0.00021964740875365005
Tenor : 15; Maturity : 4,0.0002208917069526454
Tenor : 4; Maturity : 7,0.00022408015649618326
Tenor : 8; Maturity : 7,0.0002350923053373588
Tenor : 25; Maturity : 3,0.00023621194047348157
Tenor : 5; Maturity : 10,0.00023906052323996452
Tenor : 9; Maturity : 5,0.0002421622570996466
Tenor : 8; Maturity : 5,0.0002443401725103674
Tenor : 15; Maturity : 7,0.00025202941416491154
Tenor : 30; Maturity : 4,0.0002555195886969619
Tenor : 10; Maturity : 4,0.00025665017237697096
Tenor : 3; Maturity : 7,0.0002581665807602403
Tenor : 20; Maturity : 3,0.0002669116405008924
Tenor : 6; Maturity : 10,0.00026911334193609654
Tenor : 7; Maturity : 10,0.00026941432305460644
Tenor : 30; Maturity : 3,0.0002695642690982991
Tenor : 10; Maturity : 10,0.00028098303825048926
Tenor : 9; Maturity : 10,0.00028452001527586496
Tenor : 30; Maturity : 5,0.00028883835136217506
Tenor : 8; Maturity : 10,0.0002913700395469343
Tenor : 25; Maturity : 5,0.00029436748547980357
Tenor : 20; Maturity : 7,0.0002952950371697775
Tenor : 25; Maturity : 2,0.00029654127578630324
Tenor : 7; Maturity : 5,0.0002975728134279783
Tenor : 2; Maturity : 7,0.0003027501156862196
Tenor : 30; Maturity : 2,0.0003041822231242275
Tenor : 15; Maturity : 3,0.00031239017640960487
Tenor : 9; Maturity : 4,0.00031746523582720787
Tenor : 20; Maturity : 2,0.0003271823915626341
Tenor : 5; Maturity : 15,0.0003450164956452599
Tenor : 15; Maturity : 10,0.000346114651529598
Tenor : 30; Maturity : 1.5,0.000348963498783883
Tenor : 1; Maturity : 15,0.0003495593106430291
Tenor : 3; Maturity : 15,0.00035344130922846756
Tenor : 2; Maturity : 15,0.0003536465176077197
Tenor : 25; Maturity : 1.5,0.0003644789016004439
Tenor : 1; Maturity : 20,0.00037231391830235455
Tenor : 7; Maturity : 15,0.0003754848822929979
Tenor : 25; Maturity : 7,0.0003758973145536748
Tenor : 30; Maturity : 1,0.0003871039922238584
Tenor : 2; Maturity : 20,0.0003885986648997086
Tenor : 6; Maturity : 5,0.00039036952408255665
Tenor : 8; Maturity : 15,0.00039160547329405065
Tenor : 3; Maturity : 20,0.000393971881531896
Tenor : 6; Maturity : 15,0.00039573120338232126
Tenor : 4; Maturity : 15,0.000397145285212878
Tenor : 20; Maturity : 1.5,0.0003994909001917568
Tenor : 4; Maturity : 20,0.0004014457927849306
Tenor : 5; Maturity : 20,0.00041461836065563123
Tenor : 8; Maturity : 4,0.00042143722346317986
Tenor : 7; Maturity : 20,0.0004235252771975044
Tenor : 6; Maturity : 20,0.0004242838700106259
Tenor : 5; Maturity : 5,0.00042742425026320863
Tenor : 9; Maturity : 15,0.0004308770915680826
Tenor : 20; Maturity : 10,0.0004356096728583096
Tenor : 10; Maturity : 15,0.00043706202264293115
Tenor : 25; Maturity : 1,0.0004456212153381249
Tenor : 10; Maturity : 3,0.00045571691473045295
Tenor : 15; Maturity : 2,0.0004690508040342545
Tenor : 30; Maturity : 7,0.00047571928902071886
Tenor : 3; Maturity : 25,0.000475873544193021
Tenor : 30; Maturity : 0.75,0.00047678607619502006
Tenor : 1; Maturity : 7,0.0004771523146941403
Tenor : 20; Maturity : 1,0.0004907510104510404
Tenor : 7; Maturity : 4,0.000493762170964048
Tenor : 9; Maturity : 3,0.0004946155838684666
Tenor : 25; Maturity : 0.75,0.0005139663225810498
Tenor : 9; Maturity : 20,0.0005167486821540482
Tenor : 1; Maturity : 25,0.0005271614750118984
Tenor : 30; Maturity : 0.5,0.0005374456951761086
Tenor : 4; Maturity : 25,0.0005461764209452694
Tenor : 8; Maturity : 20,0.0005574772669242704
Tenor : 15; Maturity : 15,0.0005587851757727543
Tenor : 25; Maturity : 10,0.0005645972043551254
Tenor : 20; Maturity : 0.75,0.0005685553154784287
Tenor : 10; Maturity : 20,0.0005697360723974457
